age,ageVals,m,m.m,m.f,MRR,MRR_lCI,MRR_uCI,m1_d,lCI_d,uCI_d,m1.m_d,lCI.m_d,uCI.m_d,m1.f_d,lCI.f_d,uCI.f_d
0-5,2.5,6.1,6.62,5.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-10,7.5,0.83,0.94,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-15,12.5,0.98,1.16,0.79,2.7,1.96,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-20,17.5,2.88,3.91,1.81,NA,NA,NA,6.87,4.66,9.09,12.73,7.15,18.31,4.46,2.34,6.58
20-25,22.5,4.09,5.92,2.18,4.46,3.99,4.98,13.16,10.96,15.37,25.28,19.74,30.82,7.87,5.83,9.91
25-30,27.5,4.62,6.5,2.69,NA,NA,NA,16.59,14.32,18.86,30.55,25.17,35.93,9.76,7.63,11.88
30-35,32.5,6.03,8.2,3.82,5.31,4.96,5.7,25.15,22.45,27.85,44.21,38.08,50.33,15.26,12.67,17.85
35-40,37.5,9.07,11.78,6.33,NA,NA,NA,37.47,34.33,40.61,62.59,55.83,69.34,23.23,20.13,26.33
40-45,42.5,14.7,18.52,10.83,4.44,4.25,4.63,56.33,52.6,60.06,87.91,80.43,95.4,36.34,32.51,40.17
45-50,47.5,25.09,30.88,19.26,NA,NA,NA,90.19,85.48,94.9,128.3,119.48,137.12,64.15,59,69.31
50-55,52.5,42.17,51.73,32.59,3.63,3.53,3.74,133.74,127.92,139.57,179.23,168.77,189.7,101.35,94.71,107.99
55-60,57.5,67.11,82.27,52.04,NA,NA,NA,203.84,196.33,211.36,264.51,251.34,277.69,159.5,150.75,168.24
60-65,62.5,103.86,127.34,80.96,3.15,3.08,3.22,291.28,281.64,300.92,369.6,352.75,386.44,235.53,224.18,246.87
65-70,67.5,160.6,195.6,127.65,NA,NA,NA,442.27,429.27,455.26,559.87,536.7,583.03,364.35,349.14,379.56
70-75,72.5,260.73,316.44,211.41,2.8,2.75,2.84,700.04,682.28,717.79,893.18,860.11,926.26,587.71,567.25,608.16
75-80,77.5,442.69,538.77,366.74,NA,NA,NA,1084.77,1061.7,1107.83,1420.21,1373.99,1466.43,922.43,896.52,948.35
80-85,82.5,752.09,920.92,640.35,2.01,1.98,2.04,1554.4,1525.94,1582.86,2095.91,2033.81,2158.01,1340.52,1309.3,1371.73
85-90,87.5,1266.03,1549.09,1120.8,NA,NA,NA,2150.56,2112.36,2188.75,2964.51,2871.57,3057.44,1903.47,1862.44,1944.5
90-95,92.5,2125.54,2553.09,1968.29,1.47,1.44,1.5,2998.22,2932.8,3063.64,3959.29,3780.03,4138.55,2793.09,2723.54,2862.65
95-100,97.5,3352.76,3936.26,3205.44,NA,NA,NA,4274.04,4109.88,4438.2,5098.18,4618.54,5577.83,4140.18,3965.99,4314.38
