age,ageVals,m,m.m,m.f,MRR,MRR_lCI,MRR_uCI,m1_a,lCI_a,uCI_a,m1.m_a,lCI.m_a,uCI.m_a,m1.f_a,lCI.f_a,uCI.f_a
0-5,2.5,6.1,6.62,5.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-10,7.5,0.83,0.94,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-15,12.5,0.98,1.16,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-20,17.5,2.88,3.91,1.81,1.55,0.86,2.8,3.69,1.51,5.86,5.64,1.13,10.15,NA,NA,NA
20-25,22.5,4.09,5.92,2.18,3.26,2.51,4.23,10.55,7.83,13.26,17.5,11.43,23.56,7.08,4.36,9.81
25-30,27.5,4.62,6.5,2.69,3.94,3.24,4.8,14.37,11.6,17.15,29.29,22.43,36.15,6.91,4.55,9.27
30-35,32.5,6.03,8.2,3.82,3.89,3.3,4.59,18.76,15.74,21.79,31.67,24.82,38.53,12.46,9.45,15.46
35-40,37.5,9.07,11.78,6.33,4.43,3.93,4.99,32.58,28.78,36.37,54.13,45.61,62.65,21.98,18.17,25.79
40-45,42.5,14.7,18.52,10.83,4.26,3.88,4.67,51.81,47.12,56.51,87.69,77.21,98.17,33.36,28.73,38
45-50,47.5,25.09,30.88,19.26,4.04,3.75,4.34,85.01,78.88,91.13,121.88,109.41,134.35,65.5,58.86,72.15
50-55,52.5,42.17,51.73,32.59,3.47,3.26,3.7,122.22,114.52,129.92,167.34,152.1,182.59,98,89.45,106.55
55-60,57.5,67.11,82.27,52.04,3.56,3.37,3.77,198.38,187.6,209.16,259.45,238.26,280.64,167.13,154.96,179.29
60-65,62.5,103.86,127.34,80.96,3.17,3.01,3.34,275.4,261.01,289.79,353.86,325.3,382.41,237.39,221.11,253.66
65-70,67.5,160.6,195.6,127.65,2.97,2.82,3.12,402.65,382.5,422.79,525.34,483.54,567.13,349.24,326.76,371.72
70-75,72.5,260.73,316.44,211.41,2.83,2.69,2.97,623.85,594.19,653.52,809.25,744.39,874.11,554.81,522.04,587.59
75-80,77.5,442.69,538.77,366.74,2.4,2.29,2.52,911.51,868.55,954.48,1234.99,1131.21,1338.77,813.67,767.35,860
80-85,82.5,752.09,920.92,640.35,1.89,1.8,1.99,1242.1,1182.24,1301.96,1869.25,1700.08,2038.42,1096.5,1034.07,1158.93
85-90,87.5,1266.03,1549.09,1120.8,1.56,1.48,1.64,1764,1674.01,1853.99,2556.78,2285.01,2828.55,1614.2,1520.33,1708.07
90-95,92.5,2125.54,2553.09,1968.29,1.32,1.24,1.41,2549.09,2385.35,2712.83,3848.45,3232.58,4464.32,2393.85,2225.97,2561.74
95-100,97.5,3352.76,3936.26,3205.44,1.24,1.11,1.39,3881.89,3451.84,4311.94,5326.38,3536.02,7116.74,3757.7,3316.77,4198.63
